,Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y,string
822,822,Lund_01045,Medieval architecture,Classical architecture,Landmark,Architecture,Building,Place of worship,Cathedral,Gothic architecture,Sky,Facade,Akademibokhandeln,    , May 2017,"Medieval architecture,Classical architecture,Landmark,Architecture,Building,Place of worship,Cathedral,Gothic architecture,Sky,Facade"
823,823,Lund_00952,Classical architecture,Landmark,Building,Architecture,Facade,Sky,Palace,Courthouse,City,Basilica,Lundagérd 8,M) MrAR2407, Mar 2017,"Classical architecture,Landmark,Building,Architecture,Facade,Sky,Palace,Courthouse,City,Basilica"
824,824,Lund_01462,Landmark,Sky,Architecture,Tree,Spire,Building,Steeple,Church,Tower,Urban area,Lundagérd,@ ST EE ), Oct 2007,"Landmark,Sky,Architecture,Tree,Spire,Building,Steeple,Church,Tower,Urban area"
825,825,Lund_02692,Sky,Natural landscape,Natural environment,Plain,Cloud,Land lot,Field,Prairie,Rural area,Grass,Nobbelbvs mosse,M Maria Tracz, Jul 2017,"Sky,Natural landscape,Natural environment,Plain,Cloud,Land lot,Field,Prairie,Rural area,Grass"
826,826,Lund_02327,Building,Floor,Interior design,Flooring,Room,Retail,Hardwood,Ceiling,,,CircleK 9,Jill Miller, Aug 2017,
827,827,Lund_01377,Estate,Building,Mansion,Property,Manor house,Lawn,Château,Palace,Grass,Stately home,Botanical Garden,Felicija, Jul 2017,"Estate,Building,Mansion,Property,Manor house,Lawn,Château,Palace,Grass,Stately home"
828,828,Lund_01172,Building,Architecture,Landmark,Medieval architecture,Classical architecture,Cathedral,Facade,Place of worship,City,Church,Lund Cathedral,E ) Edwin Meulman, Sep 2017,"Building,Architecture,Landmark,Medieval architecture,Classical architecture,Cathedral,Facade,Place of worship,City,Church"
829,829,Lund_00148,Landmark,Sky,Architecture,Building,Town,Church,Cathedral,City,Urban area,Tree,@ Mato Bosnjak,@ Mato Bosnjak, Dec 2015,"Landmark,Sky,Architecture,Building,Town,Church,Cathedral,City,Urban area,Tree"
830,830,Lund_01480,Landmark,Architecture,House,Building,Estate,Sky,Tree,Tower,Roof,Home,Stadsparken,Eulampius Frede, May 2017,"Landmark,Architecture,House,Building,Estate,Sky,Tree,Tower,Roof,Home"
831,831,Lund_02801,Landmark,Architecture,Building,Sky,Church,Place of worship,Town,City,Cathedral,Facade,Botanical Garden,9 Sumeet Ranjan S, May 2017,"Landmark,Architecture,Building,Sky,Church,Place of worship,Town,City,Cathedral,Facade"
832,832,Lund_03186,Landmark,Sky,Architecture,Building,Town,City,Human settlement,Urban area,Facade,Tower,Lund Cathedral,C Carl O. Thygesen, Sep 2017,"Landmark,Sky,Architecture,Building,Town,City,Human settlement,Urban area,Facade,Tower"
833,833,Lund_01531,Architecture,Building,Arch,Landmark,Medieval architecture,Classical architecture,Brickwork,Byzantine architecture,Facade,Brick,Emmaus Lund,Rimis Ivanauskis,,"Architecture,Building,Arch,Landmark,Medieval architecture,Classical architecture,Brickwork,Byzantine architecture,Facade,Brick"
834,834,Lund_02122,Building,Property,Architecture,Landmark,Facade,Stately home,Palace,Medieval architecture,Classical architecture,City,,,,"Building,Property,Architecture,Landmark,Facade,Stately home,Palace,Medieval architecture,Classical architecture,City"
835,835,Lund_00473,Building,Property,Estate,Architecture,Stately home,Palace,Mansion,House,Almshouse,Manor house,Lundagérd,. KHADIJA SAIDI, Aug 2017,"Building,Property,Estate,Architecture,Stately home,Palace,Mansion,House,Almshouse,Manor house"
836,836,Lund_00419,Landmark,Palace,Building,Estate,Mansion,Property,Classical architecture,Architecture,House,Stately home,FLELLA T RO TY,Q Nattawat Palaka,,"Landmark,Palace,Building,Estate,Mansion,Property,Classical architecture,Architecture,House,Stately home"
837,837,Lund_02126,Property,Estate,Tree,House,Building,Real estate,Home,Land lot,Residential area,Neighbourhood,Lundagérd ¢,@ Ludovic Barth, Jul 2015,"Property,Estate,Tree,House,Building,Real estate,Home,Land lot,Residential area,Neighbourhood"
838,838,Lund_02084,Lawn,Grass,Garden,Green,Natural landscape,Grassland,Grass family,Land lot,Landscaping,Tree,Lund City Park,Joel Kouamé Bo, Sep 2017,"Lawn,Grass,Garden,Green,Natural landscape,Grassland,Grass family,Land lot,Landscaping,Tree"
839,839,Lund_01993,Fountain,Water,Water feature,Sky,Architecture,Tree,Font,City,Winter,Town square,Stadsparken ¢,Peter Aronson, May 2017,"Fountain,Water,Water feature,Sky,Architecture,Tree,Font,City,Winter,Town square"
840,840,Lund_01237,Nature,Water,Natural landscape,Reflection,Pond,Waterway,Botany,Garden,Grass,Watercourse,Kulturen,ﬁ“l Anitha Sweder -T, Jul 2017,"Nature,Water,Natural landscape,Reflection,Pond,Waterway,Botany,Garden,Grass,Watercourse"
841,841,Lund_00579,Reflection,Waterway,Natural landscape,Canal,Water,House,River,Pond,Watercourse,Building,Kulturen 8,@ PP\, Jul 2016,"Reflection,Waterway,Natural landscape,Canal,Water,House,River,Pond,Watercourse,Building"
842,842,Lund_00245,Building,Château,Landmark,Medieval architecture,Stately home,Estate,Architecture,Manor house,Castle,Mansion,Bantorget,‘ ManuTim Schiot,,"Building,Château,Landmark,Medieval architecture,Stately home,Estate,Architecture,Manor house,Castle,Mansion"
843,843,Lund_01476,Garden,Flower,Botanical garden,Plant,Grass,Yard,Lawn,Botany,Shrub,Spring,Botanical Garden,fm‘: Andreas Gillberg,,"Garden,Flower,Botanical garden,Plant,Grass,Yard,Lawn,Botany,Shrub,Spring"
844,844,Lund_00720,Estate,Building,Landmark,Property,Sky,Mansion,Palace,Stately home,Architecture,House,Lundagérd,@ Bjarne Rosengrel, Apr 2017,"Estate,Building,Landmark,Property,Sky,Mansion,Palace,Stately home,Architecture,House"
845,845,Lund_02777,Building,Architecture,Property,Neighbourhood,House,Residential area,Facade,Metropolitan area,Real estate,Mixed-use,[ Y BTG RT,® | 22kort, Jul 2017,"Building,Architecture,Property,Neighbourhood,House,Residential area,Facade,Metropolitan area,Real estate,Mixed-use"
846,846,Lund_02887,Snow,Winter,Freezing,Mansion,Building,Spring,Estate,Plant,Architecture,Manor house,. Y e,. Y e,Photo,"Snow,Winter,Freezing,Mansion,Building,Spring,Estate,Plant,Architecture,Manor house"
847,847,Lund_01370,Aerial photography,Bird's-eye view,Architecture,Landscape,House,Photography,Estate,City,Urban design,Building,Stora Raby Kyrka,Kenton Knowles, Dec 2016,"Aerial photography,Bird's-eye view,Architecture,Landscape,House,Photography,Estate,City,Urban design,Building"
848,848,Lund_01415,Building,Tree,Architecture,Château,Plant,Castle,,,,,Lundagérd 9,~ 9 JanosKiss, Sep 2018,
849,849,Lund_03093,Sky,Morning,Grass,Evening,Rural area,Tree,Horizon,Landscape,Cloud,Pasture,|G AT,L Bengt Jiirs, Feb 2014,"Sky,Morning,Grass,Evening,Rural area,Tree,Horizon,Landscape,Cloud,Pasture"
850,850,Lund_02417,Landmark,Architecture,Building,Wall,Church,Town,Medieval architecture,Sky,Facade,Cathedral,Lund Cathedral,Birgit & P&r Sven, Aug 2018,"Landmark,Architecture,Building,Wall,Church,Town,Medieval architecture,Sky,Facade,Cathedral"
851,851,Lund_01459,Classical architecture,Landmark,Architecture,Building,Facade,Courthouse,Palace,Flag,Presidential palace,Official residence,[T TV HTET 3 T,a Abubakar M, Aug 2017,"Classical architecture,Landmark,Architecture,Building,Facade,Courthouse,Palace,Flag,Presidential palace,Official residence"
852,852,Lund_01255,Sky,Public space,Grass,Building,Campus,Tree,City,Architecture,Park,Cloud,Lundagérd,Helga Esteban M, Aug 2017,"Sky,Public space,Grass,Building,Campus,Tree,City,Architecture,Park,Cloud"
853,853,Lund_00707,Building,Estate,Palace,Landmark,Mansion,Official residence,Stately home,Architecture,Château,Castle,Lundagérd,&’ Suman Vummad, Jul 2017,"Building,Estate,Palace,Landmark,Mansion,Official residence,Stately home,Architecture,Château,Castle"
854,854,Lund_00434,Building,Landmark,Estate,Palace,Property,Architecture,Stately home,Mansion,Official residence,City,Lund Cathedral,G Goran Wangenhe, Jun 2017,"Building,Landmark,Estate,Palace,Property,Architecture,Stately home,Mansion,Official residence,City"
855,855,Lund_00819,Roof,Property,Sky,Town,Building,Architecture,Daytime,Public space,Urban design,Residential area,Svaneskolan 3,",&‘, Shaon Mazi", Jul 2017,"Roof,Property,Sky,Town,Building,Architecture,Daytime,Public space,Urban design,Residential area"
856,856,Lund_01695,Building,Landmark,Architecture,Sky,Church,Medieval architecture,Facade,Cathedral,Place of worship,City,Lund Cathedral (,ﬁ John Eckerdal, May 2016,"Building,Landmark,Architecture,Sky,Church,Medieval architecture,Facade,Cathedral,Place of worship,City"
857,857,Lund_01381,Property,Building,Public space,Architecture,Tree,Grass,Garden,House,Estate,Park,Lundagérd,& Nikola Mladenov, Jun 2011,"Property,Building,Public space,Architecture,Tree,Grass,Garden,House,Estate,Park"
858,858,Lund_00471,Building,Property,Medieval architecture,Architecture,Château,House,Estate,Historic house,Historic site,Facade,Kulturen |,Kulturen |, Aug 2016,"Building,Property,Medieval architecture,Architecture,Château,House,Estate,Historic house,Historic site,Facade"
859,859,Lund_02573,Land lot,Vegetation,Natural environment,Plain,Grass,Grassland,Ecoregion,Prairie,Grass family,Meadow,Klosteréngshojden,Q Peter Nordensva, May 2018,"Land lot,Vegetation,Natural environment,Plain,Grass,Grassland,Ecoregion,Prairie,Grass family,Meadow"
860,860,Lund_00624,Estate,Mansion,Building,Property,Landmark,Palace,Architecture,Official residence,Stately home,House,[TV T,6 Mohammed Zaki, Aug 2012,"Estate,Mansion,Building,Property,Landmark,Palace,Architecture,Official residence,Stately home,House"
861,861,Lund_02295,Property,House,Home,Building,Residential area,Roof,Real estate,Architecture,Facade,Siding,Klostergérdens IP,Minghua Zhang, Jul 2017,"Property,House,Home,Building,Residential area,Roof,Real estate,Architecture,Facade,Siding"
862,862,Lund_01198,Garden,Botanical garden,Tree,Botany,Park,Grass,Shrub,Spring,Plant,Estate,"»\1,;; Aktham Yousef","»\1,;; Aktham Yousef", May 2018,"Garden,Botanical garden,Tree,Botany,Park,Grass,Shrub,Spring,Plant,Estate"
863,863,Lund_02938,Map,Organism,Adaptation,Bird,,,,,,,LT TR TR,K Karl Magnus Adi,,
864,864,Lund_01318,Architecture,Classical architecture,Building,Landmark,Property,Facade,Town,Sky,House,Palace,Lundagérd,L) UIf Zimmermann, Aug 2018,"Architecture,Classical architecture,Building,Landmark,Property,Facade,Town,Sky,House,Palace"
865,865,Lund_02124,Town,Public space,Water,Architecture,Sculpture,Tree,Tourism,Statue,Town square,Palace,£ (g T,M) M2 BEGONA DEL, Mar 2018,"Town,Public space,Water,Architecture,Sculpture,Tree,Tourism,Statue,Town square,Palace"
866,866,Lund_00784,Landmark,Building,Architecture,Medieval architecture,Tree,Estate,Stately home,Sky,Church,Château,[T L He 1 BT,g‘z Serena Fazio,,"Landmark,Building,Architecture,Medieval architecture,Tree,Estate,Stately home,Sky,Church,Château"
867,867,Lund_01814,Landmark,Architecture,Building,Medieval architecture,Baptistery,Church,Tree,Place of worship,Cathedral,City,Lundagérd,Risto Lazarevic, Jan 2018,"Landmark,Architecture,Building,Medieval architecture,Baptistery,Church,Tree,Place of worship,Cathedral,City"
868,868,Lund_01312,Landmark,Building,Property,House,Architecture,Mansion,Town,Estate,Sky,City,LT T :,Oleg Prosekov, Aug 2017,"Landmark,Building,Property,House,Architecture,Mansion,Town,Estate,Sky,City"
869,869,Lund_02066,Sky,Sport venue,Natural landscape,Grass,Green,Land lot,Grassland,Property,Natural environment,Tree,Lund Oval 3,Abin Thomas, Aug 2016,"Sky,Sport venue,Natural landscape,Grass,Green,Land lot,Grassland,Property,Natural environment,Tree"
870,870,Lund_01061,House,Tree,Building,Architecture,Palace,Estate,Château,Mansion,Sky,Plant,Lundagérd 9,i\ Bengt Jiirs, Sep 2013,"House,Tree,Building,Architecture,Palace,Estate,Château,Mansion,Sky,Plant"
871,871,Lund_01558,Property,House,Cottage,Home,Building,Roof,Residential area,Real estate,Estate,Farmhouse,Kulturen,Daniel Jarl, Aug 2018,"Property,House,Cottage,Home,Building,Roof,Residential area,Real estate,Estate,Farmhouse"
872,872,Lund_00927,Classical architecture,Building,Landmark,Architecture,Mansion,Palace,Estate,Official residence,Facade,Stately home,Lundagérd ¢,@ Ludovic Barth, Jul 2015,"Classical architecture,Building,Landmark,Architecture,Mansion,Palace,Estate,Official residence,Facade,Stately home"
873,873,Lund_02759,Asphalt,Road,Public space,Road surface,Land lot,Tree,Sky,Infrastructure,Signage,Real estate,MAX IV Laboratory,p‘ Indré Kolojanska, May 2017,"Asphalt,Road,Public space,Road surface,Land lot,Tree,Sky,Infrastructure,Signage,Real estate"
874,874,Lund_00108,Landmark,Place of worship,Architecture,Spire,Church,Building,Parish,Sky,Chapel,Steeple,9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017,"Landmark,Place of worship,Architecture,Spire,Church,Building,Parish,Sky,Chapel,Steeple"
875,875,Lund_01354,Medieval architecture,Architecture,Landmark,Building,Classical architecture,Place of worship,Historic site,Cathedral,Facade,Byzantine architecture,Per Tutti Glasscafé,Anne-Charlotte J, Sep 2017,"Medieval architecture,Architecture,Landmark,Building,Classical architecture,Place of worship,Historic site,Cathedral,Facade,Byzantine architecture"
876,876,Lund_02049,Body of water,Natural landscape,Water resources,Pond,Nature,Water,Bank,Vegetation,Fish pond,Nature reserve,Botanical Garden,(%) Lucila Cetin, Jul 2016,"Body of water,Natural landscape,Water resources,Pond,Nature,Water,Bank,Vegetation,Fish pond,Nature reserve"
877,877,Lund_02501,Nature,Sky,Water,Highland,Vegetation,Wilderness,Tree,Natural environment,Rock,Mountain,Rinnebick Gorge,L% Jacob Gradén,,"Nature,Sky,Water,Highland,Vegetation,Wilderness,Tree,Natural environment,Rock,Mountain"
878,878,Lund_01668,Landmark,Palace,Château,Flower,Spring,Estate,Stately home,Plant,Garden,Building,Lundagérd,% Mohammad A.M, May 2018,"Landmark,Palace,Château,Flower,Spring,Estate,Stately home,Plant,Garden,Building"
879,879,Lund_01111,Classical architecture,Building,Landmark,Architecture,Palace,Estate,Château,Official residence,Mansion,Facade,Lunds universitet pa,@ (T QT T, Jan 2017,"Classical architecture,Building,Landmark,Architecture,Palace,Estate,Château,Official residence,Mansion,Facade"
880,880,Lund_02070,Wall,Building,Tree,Architecture,Medieval architecture,Stately home,Grass,House,Estate,Plant,Lundagérd ¢,(3} PR, Sep 2017,"Wall,Building,Tree,Architecture,Medieval architecture,Stately home,Grass,House,Estate,Plant"
881,881,Lund_00129,Sky,Landmark,Building,Town,Architecture,Tree,Human settlement,City,House,Cloud,Lund - Nov 2017,M) Manos Orfanos,,"Sky,Landmark,Building,Town,Architecture,Tree,Human settlement,City,House,Cloud"
882,882,Lund_01981,Property,Town,Building,House,Sky,Architecture,Real estate,Tree,Home,Road,Good Morning Lund,Jelte Kerker, Jul 2017,"Property,Town,Building,House,Sky,Architecture,Real estate,Tree,Home,Road"
883,883,Lund_00267,Reflection,Building,Reflecting pool,Landmark,Estate,Architecture,Mansion,Palace,Water,Pond,Lundagérd 9,{DZ Arne Ayasrah, Jul 2014,"Reflection,Building,Reflecting pool,Landmark,Estate,Architecture,Mansion,Palace,Water,Pond"
884,884,Lund_01960,Road,Natural landscape,Lane,Thoroughfare,Asphalt,Grass,Path,Trail,Tree,Infrastructure,Sankt Hans Hill,Rafael Schwartz, May 2018,"Road,Natural landscape,Lane,Thoroughfare,Asphalt,Grass,Path,Trail,Tree,Infrastructure"
885,885,Lund_02118,Building,Medieval architecture,Classical architecture,Architecture,Landmark,Place of worship,Historic site,Cathedral,Facade,Neighbourhood,[T T o1 T T T,Helena Qin, May 2017,"Building,Medieval architecture,Classical architecture,Architecture,Landmark,Place of worship,Historic site,Cathedral,Facade,Neighbourhood"
886,886,Lund_00731,Building,Architecture,Landmark,Town,Property,Facade,House,City,Mansion,Stately home,Grand Hotel Lund,‘{ﬁ Sanjay Gangadh:e,,"Building,Architecture,Landmark,Town,Property,Facade,House,City,Mansion,Stately home"
887,887,Lund_02511,Grassland,Sky,Plain,Field,Natural landscape,Natural environment,Prairie,Steppe,Pasture,Grass,L TR TR,L TR TR, Jul 2018,"Grassland,Sky,Plain,Field,Natural landscape,Natural environment,Prairie,Steppe,Pasture,Grass"
888,888,Lund_02772,Tree,Flag,Grass,Pole,Land lot,Woody plant,Plant,Park,Landscape,Lawn,,, Jun 2017,"Tree,Flag,Grass,Pole,Land lot,Woody plant,Plant,Park,Landscape,Lawn"
889,889,Lund_02542,Land lot,Pasture,Grassland,Natural environment,Meadow,Natural landscape,Grass,Tree,Prairie,Farm,Shaon Mazi,Shaon Mazi, Apr 2017,"Land lot,Pasture,Grassland,Natural environment,Meadow,Natural landscape,Grass,Tree,Prairie,Farm"
890,890,Lund_01901,Sky,Transport,Building,Vehicle,Architecture,Restaurant,Car,Real estate,Residential area,Suburb,Valentin Kuhn,Valentin Kuhn, Mar 2017,"Sky,Transport,Building,Vehicle,Architecture,Restaurant,Car,Real estate,Residential area,Suburb"
891,891,Lund_01519,Building,Architecture,Landmark,Town,City,Property,Human settlement,Facade,Public space,Town square,Lundagérd,Nika Jikurashvili, Sep 2018,"Building,Architecture,Landmark,Town,City,Property,Human settlement,Facade,Public space,Town square"
892,892,Lund_01112,Landmark,Architecture,Building,Sky,City,Town,Urban area,Steeple,Facade,Church,LT T o1 T T T,@ Daniel Klein, Aug 2018,"Landmark,Architecture,Building,Sky,City,Town,Urban area,Steeple,Facade,Church"
893,893,Lund_01253,City,Urban area,Roof,Town,Human settlement,Building,Architecture,Metropolitan area,Residential area,Sky,[TV T :,qf‘gu Kaveh Kamran, Aug 2017,"City,Urban area,Roof,Town,Human settlement,Building,Architecture,Metropolitan area,Residential area,Sky"
894,894,Lund_00274,Building,Estate,Palace,Classical architecture,Landmark,Architecture,Mansion,Official residence,Château,Reflecting pool,Lundagérd 9,A Attila Csap6, Jul 2016,"Building,Estate,Palace,Classical architecture,Landmark,Architecture,Mansion,Official residence,Château,Reflecting pool"
895,895,Lund_02218,Natural landscape,Body of water,Natural environment,Water resources,Marsh,Nature,Nature reserve,Water,Wetland,Vegetation,N[ AT T T,i\ Bengt Jiirs, Jul 2014,"Natural landscape,Body of water,Natural environment,Water resources,Marsh,Nature,Nature reserve,Water,Wetland,Vegetation"
896,896,Lund_01886,Building,Landmark,Property,Architecture,Facade,Town,Palace,House,Classical architecture,Stately home,Kulturen,M) M2 BEGONA DEL, Mar 2018,"Building,Landmark,Property,Architecture,Facade,Town,Palace,House,Classical architecture,Stately home"
897,897,Lund_01144,Body of water,Waterway,Canal,River,Town,Property,Residential area,Human settlement,Bank,Neighbourhood,J. T,.}gg Genial Barani, Jun 2017,"Body of water,Waterway,Canal,River,Town,Property,Residential area,Human settlement,Bank,Neighbourhood"
898,898,Lund_01224,Urban area,City,Metropolitan area,Town,Roof,Human settlement,Building,Landmark,Cityscape,Suburb,[TV T :,qf‘gu Kaveh Kamran, Aug 2017,"Urban area,City,Metropolitan area,Town,Roof,Human settlement,Building,Landmark,Cityscape,Suburb"
899,899,Lund_00860,Town,Town square,City,Human settlement,Public space,Plaza,Building,Street,Mixed-use,Sky,Lundagérd,'v Rafael Schwartz, May 2018,"Town,Town square,City,Human settlement,Public space,Plaza,Building,Street,Mixed-use,Sky"
900,900,Lund_01399,Natural landscape,Natural environment,Water resources,Wetland,Water,Nature reserve,Green,Marsh,Grassland,Fen,|G AT,L Bengt Jiirs, May 2014,"Natural landscape,Natural environment,Water resources,Wetland,Water,Nature reserve,Green,Marsh,Grassland,Fen"
901,901,Lund_00246,Landmark,Building,Estate,Palace,Official residence,Mansion,Stately home,Presidential palace,Classical architecture,Architecture,Lundagérd 8,g NI LYo, Jun 2014,"Landmark,Building,Estate,Palace,Official residence,Mansion,Stately home,Presidential palace,Classical architecture,Architecture"
902,902,Lund_01906,Grassland,Sport venue,Land lot,Pasture,Grass,Plain,Grass family,Lawn,Meadow,Field,Sankt Hans Hill ¢,Jonas Lundin, Jun 2017,"Grassland,Sport venue,Land lot,Pasture,Grass,Plain,Grass family,Lawn,Meadow,Field"
903,903,Lund_01457,Landmark,Architecture,Classical architecture,Building,Facade,City,Palace,Urban area,Sky,House,Kulturen,Colin Nelson, Aug 2018,"Landmark,Architecture,Classical architecture,Building,Facade,City,Palace,Urban area,Sky,House"
904,904,Lund_02035,Property,Town,Building,House,Neighbourhood,Home,Real estate,Architecture,Road,Street,B Malmgren's Cycle :,# Viktor Erik Jense, Apr 2017,"Property,Town,Building,House,Neighbourhood,Home,Real estate,Architecture,Road,Street"
905,905,Lund_02835,Classical architecture,Landmark,Architecture,Building,Facade,Tourist attraction,Ancient roman architecture,Palace,Basilica,Historic site,Lundagérd,Aleksandras Ples, Aug 2013,"Classical architecture,Landmark,Architecture,Building,Facade,Tourist attraction,Ancient roman architecture,Palace,Basilica,Historic site"
906,906,Lund_00332,Estate,Building,Palace,Property,Mansion,Stately home,Official residence,House,Château,Architecture,Lundagérd,“’ Adrian Popescu, Sep 2016,"Estate,Building,Palace,Property,Mansion,Stately home,Official residence,House,Château,Architecture"
907,907,Lund_02386,Rapeseed,Field,Mustard,Mustard plant,Yellow,Canola,Meadow,Plant,Grassland,Natural landscape,Nobbel6vs mosse,#€) Edvin Dribe, May 2017,"Rapeseed,Field,Mustard,Mustard plant,Yellow,Canola,Meadow,Plant,Grassland,Natural landscape"
908,908,Lund_02871,Landmark,Estate,Building,Memorial,Architecture,Tree,Monument,Château,Mansion,Historic site,Lundagérd 8,(%) Lucila Cetin, Jul 2016,"Landmark,Estate,Building,Memorial,Architecture,Tree,Monument,Château,Mansion,Historic site"
909,909,Lund_00888,Estate,Building,Landmark,Mansion,Palace,Official residence,Stately home,Property,Presidential palace,Architecture,Hokeriet g,@ Sten Olsson, Jul 2017,"Estate,Building,Landmark,Mansion,Palace,Official residence,Stately home,Property,Presidential palace,Architecture"
910,910,Lund_01878,Property,Building,Estate,Tree,Mansion,House,Architecture,Stately home,Palace,Château,,,Photo,"Property,Building,Estate,Tree,Mansion,House,Architecture,Stately home,Palace,Château"
911,911,Lund_01379,Property,Building,Public space,Architecture,Tree,Grass,Garden,House,Estate,Park,Lundagérd,& Nikola Mladenov, Jun 2011,"Property,Building,Public space,Architecture,Tree,Grass,Garden,House,Estate,Park"
912,912,Lund_00415,Metropolitan area,Urban area,City,Cityscape,Metropolis,Human settlement,Daytime,Aerial photography,Building,Urban design,Beautiful view from *,R Robbert Biere, Apr 2017,"Metropolitan area,Urban area,City,Cityscape,Metropolis,Human settlement,Daytime,Aerial photography,Building,Urban design"
913,913,Lund_03182,Building,Mansion,Property,Estate,Landmark,House,Architecture,Palace,Home,Sky,Lundagérd,""" a, Pavlo Sviatnenkc", Jun 2018,"Building,Mansion,Property,Estate,Landmark,House,Architecture,Palace,Home,Sky"
914,914,Lund_00400,Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,Facade,Lundagérd 8,@ Martin Giles, Mar 2014,"Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,Facade"
915,915,Lund_02640,Grass,Competition event,Spring,Recreation,Physical fitness,Lawn,Summer,Leisure,Games,Park,Klostergérdens IP,il VPN YT 1o 3 (o)), Jun 2017,"Grass,Competition event,Spring,Recreation,Physical fitness,Lawn,Summer,Leisure,Games,Park"
916,916,Lund_03181,Sky,Tree,Garden,Leaf,Grass,Daytime,Wilderness,Lawn,Autumn,Park,Stadsparken,5 m Anna Sadowska, Oct 2018,"Sky,Tree,Garden,Leaf,Grass,Daytime,Wilderness,Lawn,Autumn,Park"
917,917,Lund_01294,Building,Town,Neighbourhood,City,Mixed-use,Human settlement,Property,Downtown,Plaza,Metropolitan area,ICA Kvantum Malmb,Sandra Loskin, Jul 2017,"Building,Town,Neighbourhood,City,Mixed-use,Human settlement,Property,Downtown,Plaza,Metropolitan area"
918,918,Lund_01063,Medieval architecture,Building,Landmark,Architecture,Facade,Classical architecture,Cathedral,Church,Place of worship,Steeple,Lund Cathedral :,UIf Danielsson, Aug 2017,"Medieval architecture,Building,Landmark,Architecture,Facade,Classical architecture,Cathedral,Church,Place of worship,Steeple"
919,919,Lund_02941,Sky,Residential area,Land lot,Cloud,Road,Grass,Asphalt,Tree,Suburb,Sidewalk,Rabysjon och Raby s,S ) Senad Basic, Jun 2017,"Sky,Residential area,Land lot,Cloud,Road,Grass,Asphalt,Tree,Suburb,Sidewalk"
920,920,Lund_02414,Town,Building,Property,Human settlement,Neighbourhood,City,Street,Mixed-use,Architecture,Downtown,Lundagérd g,“.3 Florian Lang, Sep 2011,"Town,Building,Property,Human settlement,Neighbourhood,City,Street,Mixed-use,Architecture,Downtown"
921,921,Lund_01877,Architecture,Grass,Wall,Building,Castle,Waterway,Tree,Sky,Estate,Spring,Lundagérd,Sebastian Ander:, May 2017,"Architecture,Grass,Wall,Building,Castle,Waterway,Tree,Sky,Estate,Spring"
922,922,Lund_02305,Public space,Architecture,Urban area,Building,Street,City,Intersection,Sky,Road,Residential area,ICA Supermarket Lin,Takashi Tokushir,,"Public space,Architecture,Urban area,Building,Street,City,Intersection,Sky,Road,Residential area"
923,923,Lund_01745,Property,Estate,House,Building,Home,Mansion,Manor house,Architecture,Grass,Almshouse,Botanical Garden,Alicja Lewandow, Sep 2017,"Property,Estate,House,Building,Home,Mansion,Manor house,Architecture,Grass,Almshouse"
924,924,Lund_02532,Natural landscape,Body of water,Sky,Water,Nature,Water resources,Vegetation,Natural environment,Lake,Nature reserve,L TR TR,J Joachim Schéns, Jul 2016,"Natural landscape,Body of water,Sky,Water,Nature,Water resources,Vegetation,Natural environment,Lake,Nature reserve"
925,925,Lund_02701,Snow,Winter,Freezing,Atmospheric phenomenon,Tree,Sky,Winter storm,Blizzard,Frost,Thoroughfare,Klosteréngshojden,Q Peter Nordensva, Jan 2017,"Snow,Winter,Freezing,Atmospheric phenomenon,Tree,Sky,Winter storm,Blizzard,Frost,Thoroughfare"
926,926,Lund_01731,Classical architecture,Architecture,Building,Landmark,Facade,City,Courthouse,Tourist attraction,Monument,Seat of local government,Lundagérd,@ Juca Felix Galino, Jun 2016,"Classical architecture,Architecture,Building,Landmark,Facade,City,Courthouse,Tourist attraction,Monument,Seat of local government"
927,927,Lund_02707,Water resources,Water,Sky,River,Bank,Waterway,Lake,Natural environment,Reservoir,Shore,Rabysjon och Raby s,EEL\FETEEt], May 2018,"Water resources,Water,Sky,River,Bank,Waterway,Lake,Natural environment,Reservoir,Shore"
928,928,Lund_00545,Building,Château,Estate,Palace,Public space,Vehicle,Bicycle,Campus,Architecture,Mansion,Bantorget -,L. -, Jul 2017,"Building,Château,Estate,Palace,Public space,Vehicle,Bicycle,Campus,Architecture,Mansion"
929,929,Lund_02181,Natural landscape,Nature,Sky,Natural environment,Field,Water,Green,Grassland,Paddy field,Nature reserve,Nobbel6vs mosse,L 1T T, Jul 2014,"Natural landscape,Nature,Sky,Natural environment,Field,Water,Green,Grassland,Paddy field,Nature reserve"
930,930,Lund_01905,Building,Property,Estate,Mansion,House,Architecture,Facade,Tree,Palace,Real estate,Lundagérd,@ Juca Felix Galino, Jun 2016,"Building,Property,Estate,Mansion,House,Architecture,Facade,Tree,Palace,Real estate"
931,931,Lund_01410,Estate,Building,Mansion,Property,Tree,Manor house,Stately home,House,Architecture,Historic house,ISLK International Sc,Alba Mercado Di:, Aug 2018,"Estate,Building,Mansion,Property,Tree,Manor house,Stately home,House,Architecture,Historic house"
932,932,Lund_02837,Wall,Landmark,Medieval architecture,Sky,Historic site,Architecture,Building,Church,Tree,Place of worship,Klosterkyrkan ¢,& saad al saifi, Jun 2016,"Wall,Landmark,Medieval architecture,Sky,Historic site,Architecture,Building,Church,Tree,Place of worship"
